player_id,player_name,total_pitches,swings,hits,pulled_fb%,ba,iso,babip,slg,xwoba,launch_speed,launch_angle,spin_rate,velocity,effective_speed
670770,TJ Friedl,2194,31,13,1.4,0.419,1.161,0.053,1.581,0.406,90.6,34.2,2198,89.6,89.76
543543,Brad Miller,291,4,1,1.4,0.25,0.25,0.25,0.5,0.403,91.8,35,1902,75.9,75.85
514888,Jose Altuve,1557,22,16,1.4,0.727,1.636,0.5,2.364,0.683,94.7,33.5,2222,89.8,89.92
657088,Forrest Wall,71,1,1,1.4,1,3,,4,0.345,99,37,2258,94.5,93.3
664034,Ty France,2425,33,10,1.4,0.303,0.697,0.115,1,0.566,92.9,38.5,2315,84.9,85.2
682928,CJ Abrams,2212,31,16,1.4,0.533,1.4,0.167,1.933,0.554,95.5,33.9,2089,87.3,87.54
605170,Victor Caratini,805,11,5,1.4,0.455,1.182,0.143,1.636,0.614,90.8,33.4,2242,89.6,90.26
665155,Nick Maton,1243,18,7,1.4,0.412,1.118,0.083,1.529,0.515,96.2,34.5,2192,87.8,88.44
646240,Rafael Devers,2579,36,22,1.4,0.611,1.583,0.222,2.194,0.947,99.7,34.7,2311,87.8,88.04
669261,Jack Suwinski,2281,33,18,1.4,0.581,1.742,0,2.323,0.968,100.1,35.9,2223,87.6,87.93
668942,Josh Rojas,1350,19,5,1.4,0.278,0.667,0.067,0.944,0.383,87.2,38.2,2137,85.2,85.61
664774,LaMonte Wade Jr.,2102,29,14,1.4,0.5,1.179,0.211,1.679,0.652,96.4,37.1,2305,90.3,90.68
457759,Justin Turner,2670,38,27,1.4,0.711,1.421,0.5,2.132,0.698,96.3,33.6,2275,87.9,88.1
671289,Tyler Freeman,636,9,5,1.4,0.625,1.25,0.333,1.875,0.688,91.1,35.8,2297,86,85.63
682641,Luis Matos,901,13,4,1.4,0.308,0.615,0.182,0.923,0.35,86.5,33.5,2153,89,88.67
613564,Jason Vosler,291,4,3,1.4,0.75,1.75,0.5,2.5,0.926,102.9,33.8,2100,89.4,89.55
543877,Christian Vázquez,1324,18,6,1.4,0.333,0.722,0.143,1.056,0.35,93.8,38.7,2310,88.8,89.14
669394,Jake Burger,2048,29,16,1.4,0.571,1.714,0,2.286,0.868,100.2,35.1,2291,84.6,85
622569,Pablo Reyes,709,10,3,1.4,0.3,0.5,0.222,0.8,0.419,91.3,36.6,2421,89.1,89.13
643446,Jeff McNeil,2193,31,14,1.4,0.452,1.097,0.227,1.548,0.337,91.6,34.2,2119,89.5,89.64
592192,Mark Canha,2085,29,11,1.4,0.393,0.929,0.143,1.321,0.463,91.5,35.2,2189,88,87.98
665926,Andrés Giménez,2346,33,19,1.4,0.594,1.5,0.3,2.094,0.558,92.7,34.6,2239,88.6,88.88
669743,Alex Call,1832,26,7,1.4,0.269,0.615,0.095,0.885,0.371,90.7,39.8,2169,90,90.53
592518,Manny Machado,2284,31,17,1.4,0.567,1.533,0.125,2.1,0.708,96.9,35.7,2384,86.1,86.29
677551,Wander Franco,1901,26,10,1.4,0.4,1.12,0.059,1.52,0.582,96.9,37.5,2168,86.8,86.72
596146,Max Kepler,1924,26,16,1.4,0.64,1.92,0,2.56,0.925,99.3,34,2290,86.9,87.28
680777,Ryan Jeffers,1327,18,7,1.4,0.412,1.118,0.083,1.529,0.518,99,39.6,2303,85,85.37
543807,George Springer,2528,35,12,1.4,0.343,1.029,0,1.371,0.459,94.9,35.4,2311,85.9,86.13
650489,Willi Castro,1586,20,9,1.3,0.45,0.9,0.267,1.35,0.459,94.9,37.2,2230,86.5,86.62
553993,Eugenio Suárez,2903,38,17,1.3,0.5,1,0.25,1.5,0.569,93.9,34.8,2327,86.4,86.74
676609,José Caballero,1140,15,5,1.3,0.333,0.667,0.167,1,0.602,87.6,37.5,2033,89.2,89.51
666801,Rodolfo Castro,1002,13,5,1.3,0.417,0.417,0.333,0.833,0.33,88,36.5,2255,85.6,85.23
668709,JJ Bleday,1213,16,6,1.3,0.4,1.067,0.091,1.467,0.614,94.8,32.9,1999,88.6,88.9
671221,Drew Waters,1317,17,8,1.3,0.533,1.333,0.182,1.867,0.631,93.4,34.9,2103,86.8,87.17
592273,Brandon Drury,1963,25,13,1.3,0.52,1.48,0.077,2,0.744,96.2,34,2190,87.5,87.89
572041,AJ Pollock,557,7,3,1.3,0.429,1.286,0,1.714,0.691,90.9,30.4,2373,85.7,85.94
670764,Taylor Walls,1420,18,8,1.3,0.444,1.222,0.091,1.667,0.348,93.9,34.6,2318,89.7,90.24
