player_id,player_name,total_pitches,swings,hits,straightaway_fb%,ba,iso,babip,slg,xwoba,launch_speed,launch_angle,spin_rate,velocity,effective_speed
663845,Alfonso Rivas III,539,8,2,1.5,0.250,0.750,0.000,1.000,0.544,91.9,34,2190,88.1,87.61
665750,Leody Taveras,2106,32,6,1.5,0.207,0.414,0.103,0.621,0.477,94.1,36.3,2212,87.9,87.87
592273,Brandon Drury,1963,30,7,1.5,0.241,0.276,0.179,0.517,0.467,89.6,37,2325,88,88.37
685133,Wade Meckler,271,4,1,1.5,0.250,0.000,0.250,0.250,0.399,88.2,36.3,2190,87.5,88.22
649966,Luis Urías,741,11,1,1.5,0.091,0.273,0.000,0.364,0.379,94.9,38.7,2227,85.2,85.15
642708,Amed Rosario,1979,29,5,1.5,0.172,0.276,0.143,0.448,0.427,93.3,33,2301,87.1,87.37
641584,Jake Fraley,1420,22,4,1.5,0.190,0.286,0.100,0.476,0.363,88.4,34.3,2309,87.7,88.18
663697,Jonathan India,2205,34,7,1.5,0.226,0.613,0.036,0.839,0.607,94.9,33.5,2360,87.8,88.24
691026,Masyn Winn,535,8,0,1.5,0.000,0.000,0.000,0.000,0.234,91.7,34.6,2205,86.4,86.55
666185,Dylan Carlson,1047,16,4,1.5,0.267,0.600,0.143,0.867,0.575,95.5,34.8,2131,88.2,88.38
606466,Ketel Marte,2483,38,6,1.5,0.162,0.405,0.030,0.568,0.43,92.2,37,2304,88.5,88.75
677592,Everson Pereira,388,6,0,1.5,0.000,0.000,0.000,0.000,0.385,96.3,34.8,2177,86.8,87.17
607054,Jace Peterson,1740,26,3,1.5,0.115,0.000,0.115,0.115,0.459,91.4,32,2213,89.6,89.6
543309,Kyle Higashioka,1010,15,4,1.5,0.267,0.333,0.214,0.600,0.799,95.5,34.1,2227,90.2,90.42
605170,Victor Caratini,805,12,3,1.5,0.300,0.600,0.100,0.900,0.339,89.9,38.6,2282,91.8,92.48
668227,Randy Arozarena,2679,41,3,1.5,0.073,0.220,0.000,0.293,0.429,94.3,36.8,2286,87.7,87.74
655316,Andruw Monasterio,1345,19,5,1.4,0.263,0.421,0.222,0.684,0.501,94.5,36.3,2284,88.1,88.95
677594,Julio Rodríguez,2511,36,8,1.4,0.222,0.500,0.097,0.722,0.596,95.3,34.4,2310,87.5,87.82
542364,Rafael Ortega,583,8,0,1.4,0.000,0.000,0.000,0.000,0.133,89.4,37.8,2456,91.5,91.29
572204,Trayce Thompson,799,11,4,1.4,0.364,1.091,0.000,1.455,0.913,101.4,35.1,2202,91.3,91.97
592669,Hunter Renfroe,2107,30,6,1.4,0.207,0.241,0.143,0.448,0.328,90.9,40.5,2162,89,89.4
614177,Franmil Reyes,293,4,0,1.4,0.000,0.000,0.000,0.000,0.869,100.1,35.3,2121,92.6,93.2
672386,Alejandro Kirk,1725,24,4,1.4,0.167,0.042,0.167,0.208,0.401,91.4,36.5,2301,88,88.53
665862,Jazz Chisholm Jr.,1545,22,7,1.4,0.333,0.857,0.118,1.190,0.685,97.8,36.1,2325,88.8,89.05
665742,Juan Soto,2897,42,13,1.4,0.310,0.881,0.033,1.190,0.765,98.6,34.4,2307,88.3,88.28
642731,Thairo Estrada,1923,26,3,1.4,0.120,0.120,0.080,0.240,0.231,87.7,38.7,2228,89.4,89.68
657757,Gavin Sheets,1421,20,3,1.4,0.150,0.200,0.105,0.350,0.308,92.8,38.3,2091,88.5,88.87
682622,Noelvi Marte,444,6,0,1.4,0.000,0.000,0.000,0.000,0.713,99.2,33.3,2160,88.3,88.55
545361,Mike Trout,1547,22,10,1.4,0.455,1.364,0.000,1.818,0.984,100.2,35.7,2307,88.5,88.82
666135,Alex Kirilloff,1242,18,3,1.4,0.188,0.250,0.118,0.438,0.439,91.8,35.7,2352,90.6,91.01
668670,Jake Rogers,1432,20,3,1.4,0.150,0.150,0.105,0.300,0.547,94.2,37.7,2266,88.6,88.86
666134,Nolan Jones,1809,26,9,1.4,0.346,0.654,0.227,1.000,0.706,96.8,32.5,2206,87.6,88.3
593428,Xander Bogaerts,2644,37,8,1.4,0.235,0.412,0.121,0.647,0.572,92.7,33.5,2243,90.8,90.9
668472,Nick Pratto,1452,21,4,1.4,0.222,0.222,0.150,0.444,0.499,91.4,33,2145,89.5,89.92
596115,Trevor Story,640,9,3,1.4,0.333,0.444,0.250,0.778,0.371,92.8,36.6,2419,89.8,89.97
669352,Bubba Thompson,220,3,0,1.4,0.000,0.000,0.000,0.000,0.043,88.8,36.7,1554,63.8,63.33
656811,Ryan O'Hearn,1451,20,3,1.4,0.158,0.211,0.105,0.368,0.629,97.2,33.9,2178,90.3,90.27
596129,Daniel Vogelbach,1400,20,8,1.4,0.400,0.550,0.294,0.950,0.556,93.1,34.1,2358,88.5,88.91
643396,Isiah Kiner-Falefa,1454,20,5,1.4,0.250,0.300,0.211,0.550,0.33,90,35,2308,88.5,88.53
624414,Christian Arroyo,734,10,3,1.4,0.300,0.200,0.300,0.500,0.613,88.8,34.4,2363,86.9,87.03
647351,Abraham Toro,69,1,1,1.4,1.000,0.000,1.000,1.000,0.619,70,36,2159,94.6,94.3
666801,Rodolfo Castro,1002,14,5,1.4,0.357,0.929,0.100,1.286,0.828,98.1,33.1,2173,86.2,86.04
681082,Bryson Stott,2665,37,6,1.4,0.171,0.114,0.139,0.286,0.349,89.5,35.1,2224,88.9,89.2
687093,Vaughn Grissom,289,4,1,1.4,0.250,0.250,0.250,0.500,0.672,96.4,30.3,2188,85.1,84.83
650559,Bryan De La Cruz,2467,35,7,1.4,0.206,0.471,0.067,0.676,0.479,93,36.1,2359,89.6,89.72
543877,Christian Vázquez,1324,19,4,1.4,0.222,0.111,0.211,0.333,0.333,88.9,35.4,2304,89.1,88.97
502054,Tommy Pham,1917,26,10,1.4,0.400,0.680,0.273,1.080,0.884,96.9,33,2242,87.8,88.05
488726,Michael Brantley,220,3,0,1.4,0.000,0.000,0.000,0.000,0.036,91.9,42.3,2007,91.3,91.4
663457,Lars Nootbaar,2074,30,4,1.4,0.138,0.241,0.103,0.379,0.486,94.7,33.1,2198,87.8,88.19
672515,Gabriel Moreno,1544,21,2,1.4,0.111,0.222,0.050,0.333,0.477,95.1,34.7,2374,87.3,87.6
457705,Andrew McCutchen,2008,29,5,1.4,0.179,0.393,0.077,0.571,0.426,93.6,38.6,2310,88.6,89.07
596103,Austin Slater,808,11,4,1.4,0.364,0.909,0.125,1.273,0.96,101.6,32.9,2218,86.5,87.04
547989,José Abreu,2400,33,7,1.4,0.212,0.394,0.103,0.606,0.564,93.7,34.2,2229,89,88.97
605131,Austin Barnes,778,11,0,1.4,0.000,0.000,0.000,0.000,0.452,93.6,34,2288,89.1,89.5
664702,Myles Straw,1991,28,3,1.4,0.120,0.080,0.107,0.200,0.229,86.8,36.1,2180,89.6,89.86
571657,Kyle Farmer,1398,20,4,1.4,0.211,0.316,0.158,0.526,0.307,94.5,37.2,2251,87.7,87.78
661388,William Contreras,2419,34,9,1.4,0.265,0.647,0.074,0.912,0.649,97.2,37,2315,86.8,86.79
657656,Ramón Laureano,1653,23,3,1.4,0.136,0.318,0.048,0.455,0.478,94.6,39.8,2169,87.4,87.99
621545,Zach Remillard,576,8,1,1.4,0.125,0.000,0.125,0.125,0.144,85.6,40.9,2163,90.5,90.81
608385,Jesse Winker,831,12,2,1.4,0.167,0.333,0.091,0.500,0.328,91.7,36.9,2260,90.4,90.83
624641,Edmundo Sosa,1126,16,3,1.4,0.200,0.200,0.133,0.400,0.372,88.3,36.4,2256,88.2,88.49
663853,Romy Gonzalez,363,5,1,1.4,0.250,0.750,0.000,1.000,0.868,97.6,33.6,2316,84.7,84.72
666182,Bo Bichette,2225,31,8,1.4,0.258,0.581,0.115,0.839,0.764,96.6,33.4,2358,84.1,84.23
600869,Jeimer Candelario,2333,33,11,1.4,0.344,0.781,0.154,1.125,0.526,92.8,33.8,2150,86.5,86.75
663757,Trent Grisham,2341,32,5,1.4,0.156,0.313,0.069,0.469,0.624,96.1,36.2,2282,89.1,89.23
608701,Rob Refsnyder,1004,14,1,1.4,0.077,0.077,0.071,0.154,0.32,92.8,38.9,2218,86.9,86.9
671732,Lawrence Butler,500,7,3,1.4,0.429,0.429,0.333,0.857,0.81,91.5,33.4,2234,89.5,90.01
595879,Javier Báez,1970,27,2,1.4,0.074,0.000,0.074,0.074,0.338,91.9,36.7,2364,85.7,85.9
608671,Travis Jankowski,1118,15,1,1.3,0.067,0.000,0.067,0.067,0.133,84.4,35.5,2248,90.3,89.81
650490,Yandy Díaz,2357,30,5,1.3,0.172,0.379,0.074,0.552,0.577,95.2,34.2,2157,87.4,87.54
605113,Nick Ahmed,776,10,0,1.3,0.000,0.000,0.000,0.000,0.247,91.3,37.4,2310,88.9,89.35
661531,Brian Serven,77,1,0,1.3,0.000,0.000,0.000,0.000,0.065,81.5,50,2108,94.9,94.4
545341,Randal Grichuk,1721,23,4,1.3,0.174,0.130,0.136,0.304,0.296,89.1,39.3,2317,88.9,89.56
680814,Peyton Burdick,150,2,0,1.3,0.000,0.000,0.000,0.000,0.291,92.9,27.5,2552,92.7,92.05
670242,Matt Wallner,1046,14,6,1.3,0.429,1.286,0.000,1.714,0.961,103.7,36.6,2143,90.1,90.21
